Date_Time,Source_IP,Destination_URL,Destination_IP,Duration,Bytes,Packets,Iface
2022-10-25 16:47:00,access,[Service],TTP,1171,5990,11,38
2022-10-25 16:47:00,access,[Service],TTP,1171,6023,11,38
2022-10-25 16:47:01,access,[Service],TTP,1604,4380,12,32
